Timestamp, Field, Value
2015-11-20T15:19:49.344Z, ParticipantID, "4"
2015-11-20T15:19:59.055Z, Demographics.Age, "40"
2015-11-20T15:20:00.740Z, Demographics.Gender, "Male"
2015-11-20T15:20:04.761Z, Demographics.Politics, "left"
2015-11-20T15:20:12.152Z, Demographics.Faith, "no-no"
2015-11-20T15:20:17.858Z, Demographics.Income, "more"
2015-11-20T15:20:35.126Z, Demographics.IncomeLifestyle, "less"
2015-11-20T15:20:37.462Z, Demographics.Education, "doctorate"
2015-11-20T15:20:45.217Z, Handedness.Writing, "right"
2015-11-20T15:20:46.753Z, Handedness.Drawing, "right"
2015-11-20T15:21:24.359Z, Handedness.Throwing, "right"
2015-11-20T15:21:25.560Z, Handedness.Throwing.also_uses_other, "True"
2015-11-20T15:21:31.549Z, Handedness.Scissors, "right"
2015-11-20T15:21:32.367Z, Handedness.Scissors.also_uses_other, "True"
2015-11-20T15:21:33.952Z, Handedness.Toothbrush, "right"
2015-11-20T15:21:34.920Z, Handedness.Toothbrush.also_uses_other, "True"
2015-11-20T15:21:40.893Z, Handedness.Knife, "none"
2015-11-20T15:21:45.365Z, Handedness.Spoon, "none"
2015-11-20T15:21:49.318Z, Handedness.Broom, "none"
2015-11-20T15:21:55.475Z, Handedness.Match, "none"
2015-11-20T15:21:58.062Z, Handedness.Box, "none"
2015-11-20T15:22:00.214Z, Handedness.Mouse, "right"
2015-11-20T15:22:01.731Z, Handedness.Mouse.also_uses_other, "True"
2015-11-20T15:22:05.185Z, Handedness.Door, "right"
2015-11-20T15:22:21.602Z, Handedness.Hammer, "right"
2015-11-20T15:22:22.787Z, Handedness.Hammer.also_uses_other, "True"
2015-11-20T15:22:59.176Z, Handedness.Door.also_uses_other, "True"
2015-11-20T15:23:08.219Z, Handedness.Brush, "right"
2015-11-20T15:23:09.220Z, Handedness.Brush.also_uses_other, "True"
2015-11-20T15:23:12.540Z, Handedness.Cup, "right"
2015-11-20T15:23:13.524Z, Handedness.Cup.also_uses_other, "True"
2015-11-20T15:27:45.362Z, NEOPI.1, "2"
2015-11-20T15:28:04.715Z, NEOPI.2, "4"
2015-11-20T15:28:07.535Z, NEOPI.3, "3"
2015-11-20T15:28:15.159Z, NEOPI.4, "2"
2015-11-20T15:28:19.781Z, NEOPI.5, "1"
2015-11-20T15:29:58.232Z, NEOPI.6, "1"
2015-11-20T15:30:03.991Z, NEOPI.7, "2"
2015-11-20T15:30:07.078Z, NEOPI.8, "0"
2015-11-20T15:30:10.982Z, NEOPI.9, "2"
2015-11-20T15:30:15.703Z, NEOPI.10, "3"
2015-11-20T15:30:27.699Z, NEOPI.11, "4"
2015-11-20T15:30:32.037Z, NEOPI.12, "4"
2015-11-20T15:30:41.898Z, NEOPI.13, "3"
2015-11-20T15:30:47.187Z, NEOPI.14, "0"
2015-11-20T15:30:52.292Z, NEOPI.15, "4"
2015-11-20T15:31:05.689Z, NEOPI.16, "1"
2015-11-20T15:31:09.126Z, NEOPI.17, "3"
2015-11-20T15:31:12.513Z, NEOPI.18, "2"
2015-11-20T15:31:16.100Z, NEOPI.19, "3"
2015-11-20T15:31:19.952Z, NEOPI.20, "1"
2015-11-20T15:31:22.045Z, Balance.NEOPI.Page.0, "True"
2015-11-20T15:31:32.551Z, NEOPI.21, "1"
2015-11-20T15:31:40.160Z, NEOPI.22, "4"
2015-11-20T15:31:44.297Z, NEOPI.23, "4"
2015-11-20T15:31:50.520Z, NEOPI.24, "1"
2015-11-20T15:31:57.360Z, NEOPI.25, "0"
2015-11-20T15:32:05.452Z, NEOPI.26, "0"
2015-11-20T15:32:10.992Z, NEOPI.27, "0"
2015-11-20T15:32:17.462Z, NEOPI.28, "0"
2015-11-20T15:32:33.149Z, NEOPI.29, "4"
2015-11-20T15:32:36.352Z, NEOPI.30, "2"
2015-11-20T15:32:40.507Z, NEOPI.31, "1"
2015-11-20T15:32:45.713Z, NEOPI.32, "0"
2015-11-20T15:33:00.794Z, NEOPI.33, "2"
2015-11-20T15:33:12.190Z, NEOPI.34, "2"
2015-11-20T15:33:21.684Z, NEOPI.35, "2"
2015-11-20T15:33:24.854Z, NEOPI.36, "3"
2015-11-20T15:33:28.792Z, NEOPI.37, "3"
2015-11-20T15:33:33.763Z, NEOPI.38, "4"
2015-11-20T15:33:39.002Z, NEOPI.39, "3"
2015-11-20T15:33:44.708Z, NEOPI.40, "1"
2015-11-20T15:33:46.596Z, Balance.NEOPI.Page.1, "True"
2015-11-20T15:33:51.982Z, NEOPI.41, "3"
2015-11-20T15:33:55.619Z, NEOPI.42, "1"
2015-11-20T15:34:07.048Z, NEOPI.43, "1"
2015-11-20T15:34:15.257Z, NEOPI.44, "4"
2015-11-20T15:34:19.694Z, NEOPI.45, "2"
2015-11-20T15:34:33.276Z, NEOPI.46, "4"
2015-11-20T15:34:37.080Z, NEOPI.47, "3"
2015-11-20T15:34:40.562Z, NEOPI.48, "4"
2015-11-20T15:34:44.638Z, NEOPI.49, "3"
2015-11-20T15:34:50.214Z, NEOPI.50, "3"
2015-11-20T15:34:55.349Z, NEOPI.51, "2"
2015-11-20T15:37:08.190Z, NEOPI.52, "2"
2015-11-20T15:37:12.110Z, NEOPI.53, "0"
2015-11-20T15:37:20.870Z, NEOPI.54, "2"
2015-11-20T15:37:37.137Z, NEOPI.55, "2"
2015-11-20T15:38:10.372Z, NEOPI.56, "3"
2015-11-20T15:38:14.327Z, NEOPI.57, "3"
2015-11-20T15:38:21.516Z, NEOPI.58, "4"
2015-11-20T15:38:27.206Z, NEOPI.59, "2"
2015-11-20T15:39:30.013Z, NEOPI.60, "3"
2015-11-20T15:39:31.385Z, Balance.NEOPI.Page.2, "True"
2015-11-20T15:39:45.071Z, NEOPI.61, "3"
2015-11-20T15:39:51.045Z, NEOPI.62, "4"
2015-11-20T15:39:59.971Z, NEOPI.63, "2"
2015-11-20T15:40:30.304Z, NEOPI.65, "3"
2015-11-20T15:40:36.242Z, NEOPI.64, "2"
2015-11-20T15:40:42.400Z, NEOPI.66, "1"
2015-11-20T15:40:50.691Z, NEOPI.67, "2"
2015-11-20T15:40:54.728Z, NEOPI.68, "1"
2015-11-20T15:41:02.871Z, NEOPI.69, "0"
2015-11-20T15:41:07.008Z, NEOPI.70, "2"
2015-11-20T15:41:18.220Z, NEOPI.71, "3"
2015-11-20T15:41:22.525Z, NEOPI.72, "3"
2015-11-20T15:41:31.434Z, NEOPI.73, "3"
2015-11-20T15:41:35.605Z, NEOPI.74, "3"
2015-11-20T15:41:42.562Z, NEOPI.75, "2"
2015-11-20T15:41:49.782Z, NEOPI.76, "3"
2015-11-20T15:41:54.242Z, NEOPI.77, "2"
2015-11-20T15:42:00.849Z, NEOPI.78, "1"
2015-11-20T15:42:06.087Z, NEOPI.79, "2"
2015-11-20T15:42:11.293Z, NEOPI.80, "2"
2015-11-20T15:42:12.642Z, Balance.NEOPI.Page.3, "True"
2015-11-20T15:42:17.171Z, NEOPI.81, "3"
2015-11-20T15:42:20.521Z, NEOPI.82, "3"
2015-11-20T15:42:24.775Z, NEOPI.83, "4"
2015-11-20T15:44:07.850Z, NEOPI.84, "2"
2015-11-20T15:44:16.258Z, NEOPI.85, "3"
2015-11-20T15:44:21.981Z, NEOPI.86, "3"
2015-11-20T15:45:25.515Z, NEOPI.87, "1"
2015-11-20T15:45:33.540Z, NEOPI.88, "2"
2015-11-20T15:45:43.534Z, NEOPI.89, "3"
