Id;Image;Option1;Option2;Option3;Option4;Corr opt number;Corr opt name
MET_Im1;MET_images/09_reformatted.jpg;satisfied;triumphant;relieved;surprised;1;satisfied
MET_Im2;MET_images/10_reformatted.jpg;amused;grateful;interested;satisfied;2;grateful
MET_Im3;MET_images/18_reformatted.jpg;embarrassed;disgusted;dejected;despaired;3;dejected
MET_Im4;MET_images/21_reformatted.jpg;satisfied;charmed;relieved;victorious;4;victorious
MET_Im5;MET_images/23_reformatted.jpg;relaxed;pleased;grateful;liberated;1;relaxed
MET_Im6;MET_images/24_reformatted.jpg;bothered;stunned;embarassed;astonished;2;stunned
MET_Im7;MET_images/26_reformatted.jpg;blissful;grateful;triumphant;moved;3;triumphant
MET_Im8;MET_images/29_reformatted.jpg;painful;sorrowful;sad;frustrated;4;frustrated
MET_Im9;MET_images/31_reformatted.jpg;euphoric;proud;pleased;arrogant;1;euphoric
MET_Im10;MET_images/32_reformatted.jpg;amused;content;curious;adoring;2;content
MET_Im11;MET_images/33_reformatted.jpg;easygoing;forgiving;satisfied;euphoric;3;satisfied
MET_Im12;MET_images/34_reformatted.jpg;distraught;lethargic;unhappy;agonized;4;agonized
MET_Im13;MET_images/35_reformatted.jpg;pained;uncomfortable;horrified;fearful;1;pained
MET_Im14;MET_images/36_reformatted.jpg;gratified;amused;energetic;touched;2;amused
MET_Im15;MET_images/37_reformatted.jpg;curious;adoring;cheerful;enthusiastic;3;cheerful
MET_Im16;MET_images/38_reformatted.jpg;scared;confused;impatient;hopeless;4;hopeless
MET_Im17;MET_images/39_reformatted.jpg;appalled;angry;guilty;distrustful;1;appalled
MET_Im18;MET_images/40_reformatted.jpg;concerned;crestfallen;embarrassed;worried;2;crestfallen
MET_Im19;MET_images/48_reformatted.jpg;satisfied;relaxed;carefree;interested;3;carefree
MET_Im20;MET_images/54_reformatted.jpg;unwilling;displeased;hateful;intimidated;4;intimidated
MET_Im21;MET_images/57_reformatted.jpg;joyful;satisfied;mesmerized;fascinated;1;joyful
MET_Im22;MET_images/60_reformatted.jpg;startled;sad;upset;offended;2;sad
MET_Im23;MET_images/61_reformatted.jpg;satisfied;jubilant;adoring;ecstatic;3;adoring
MET_Im24;MET_images/62_reformatted.jpg;elated;relieved;attentive;loving;4;loving
MET_Im25;MET_images/63_reformatted.jpg;shy;stunned;euphoric;dreamy;1;shy
MET_Im26;MET_images/65_reformatted.jpg;jealous;grief-stricken;embarrassed;disappointed;2;grief-stricken
MET_Im27;MET_images/67_reformatted.jpg;comfortable;composed;interested;overwhelmed;3;interested
MET_Im28;MET_images/68_reformatted.jpg;despaired;bored;jealous;weary;4;weary
MET_Im29;MET_images/69_reformatted.jpg;agonized;fearful;hopeless;sad;1;agonized
MET_Im30;MET_images/71_reformatted.jpg;reluctant;fearful;despaired;surprised;2;fearful
MET_Im31;MET_images/72_reformatted.jpg;relieved;triumphant;animated;determined;3;animated
MET_Im32;MET_images/73_reformatted.jpg;amused;interested;fascinated;excited;4;excited
MET_Im33;MET_images/74_reformatted.jpg;nostalgic;energetic;devoted;elated;1;nostalgic
MET_Im34;MET_images/75_reformatted.jpg;sad;pleading;disgruntled;melancholic;2;pleading
MET_Im35;MET_images/76_reformatted.jpg;joyless;despaired;pained;irked;3;pained
MET_Im36;MET_images/77_reformatted.jpg;satisfied;expectant;depressed;contemplative;4;contemplative
MET_Im37;MET_images/79_reformatted.jpg;heartbroken;sad;embittered;despondent;1;heartbroken
MET_Im38;MET_images/80_reformatted.jpg;hassled;pensive;heartbroken;gulity;2;pensive
MET_Im39;MET_images/81_reformatted.jpg;gloomy;guilty;despaired;defiant;3;despaired
MET_Im40;MET_images/82_reformatted.jpg;dissatisfied;confused;disinterested;disillusioned;4;disillusioned
